timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1672437377659.4458,0,0,0,0,0,0,0,0,88547001392,7044562987,68145710,18065904,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640783,89217555968,2017197,47085351424,1297.0,1035815.9374999999,757.25,6517.421875000116,7608.578124999999,2.3,2500.0,0.0,2500.0,2226698232,1187599199,0,2441743994
1672437378651.4604,0,0,0,0,0,0,0,0,88551464667,7045117642,68149677,18067602,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640805,89234005504,2017218,47086150144,1297.15625,1035826.3749999999,757.28125,6517.921875000116,7609.546874999999,13.7,2500.0,0.0,2500.0,2226776197,1187639424,0,2442196628
1672437379657.0574,0,0,0,0,0,0,0,0,88558301803,7045715643,68155351,18069513,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017249,47086768640,1297.28125,1035838.0468749999,757.3125,6518.140625000116,7609.843749999999,5.4,2500.0,0.0,2500.0,2226853123,1187679684,0,2442638999
1672437380662.8677,0,0,0,0,0,0,0,0,88566538607,7046311318,68161934,18071436,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017269,47087661568,1297.421875,1035849.5781249999,757.390625,6518.421875000116,7610.031249999999,5.6,2500.0,0.0,2500.0,2226923895,1187716432,0,2443052125
1672437381648.6284,0,0,0,0,0,0,0,0,88575750635,7046895175,68169132,18073349,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017274,47087718912,1297.515625,1035860.9687499999,757.4375,6518.640625000116,7610.203124999999,4.5,2500.0,0.0,2500.0,2226992745,1187752254,0,2443464543
1672437382650.7104,0,0,0,0,0,0,0,0,88585467040,7047495836,68176686,18075292,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017291,47088026112,1297.546875,1035872.6093749999,757.5,6518.843750000116,7610.390624999999,4.0,2500.0,0.0,2500.0,2227064607,1187789764,0,2443883934
1672437383654.6409,0,0,0,0,0,0,0,0,88595300666,7048097160,68184308,18077222,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017305,47088325120,1297.609375,1035884.2031249999,757.53125,6519.062500000116,7610.562499999999,4.0,2500.0,0.0,2500.0,2227136907,1187827323,0,2444307006
1672437384656.6353,0,0,0,0,0,0,0,0,88605463442,7048692663,68192157,18079162,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017326,47089328640,1297.734375,1035895.9218749999,757.5625,6519.296875000116,7610.781249999999,4.9,2500.0,0.0,2500.0,2227208906,1187864729,0,2444728406
1672437385652.012,0,0,0,0,0,0,0,0,88615569866,7049282881,68199949,18081105,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017326,47089328640,1297.828125,1035907.3124999999,757.59375,6519.500000000116,7611.031249999999,4.8,2500.0,0.0,2500.0,2227279084,1187901072,0,2445140775
1672437386659.5703,0,0,0,0,0,0,0,0,88626268544,7049883717,68208157,18083061,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017351,47089779200,1297.953125,1035918.9687499999,757.671875,6519.750000000116,7611.312499999999,5.9,2500.0,0.0,2500.0,2227351510,1187938660,0,2445563375
1672437387660.5293,0,0,0,0,0,0,0,0,88637458804,7050479982,68216671,18085017,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017415,47090340352,1298.078125,1035930.4687499999,757.703125,6520.109375000116,7611.453124999999,5.4,2500.0,0.0,2500.0,2227422163,1187975503,0,2445974772
1672437388652.8423,0,0,0,0,0,0,0,0,88648506207,7051084093,68225064,18087014,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017417,47090348544,1298.1875,1035941.8124999999,757.78125,6520.359375000116,7611.656249999999,5.3,2500.0,0.0,2500.0,2227493571,1188012325,0,2446388779
1672437389658.285,0,0,0,0,0,0,0,0,88660300433,7051682738,68233977,18088981,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017462,47091327488,1298.4375,1035953.3437499999,757.8125,6520.703125000116,7611.937499999999,7.3,2500.0,0.0,2500.0,2227564435,1188049001,0,2446833163
1672437390660.6924,0,0,0,0,0,0,0,0,88672423347,7052281249,68243109,18090973,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017481,47091786240,1298.59375,1035964.9531249999,757.875,6520.984375000116,7612.093749999999,5.4,2500.0,0.0,2500.0,2227635647,1188085938,0,2447254604
1672437391654.9087,0,0,0,0,0,0,0,0,88684071743,7052875419,68251918,18092930,1443,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640823,89236073984,2017500,47092179456,1298.734375,1035976.2499999999,757.90625,6521.250000000116,7612.328124999999,5.7,2500.0,0.0,2500.0,2227705278,1188122129,0,2447662639
