timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1674524320336.3003,0,0,0,0,0,0,0,0,1980304190,163060951,1555229,452961,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130203,6904962560,42666,4903600640,116.578125,16706.328125,133.21875,396.5,486.828125,0.0,2500.0,0.0,2500.0,137522311,72824323,0,517524373
1674524321322.0742,0,0,0,0,0,0,0,0,1980309948,163076850,1555297,453035,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130219,6905400832,42729,4905255424,116.578125,16717.84375,133.21875,396.546875,486.96875,1.6,2500.0,0.0,2500.0,137536262,72831613,0,517625111
1674524322329.9827,0,0,0,0,0,0,0,0,1980315514,163092418,1555362,453104,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130231,6905761280,42778,4906304000,116.59375,16729.71875,133.21875,396.65625,487.046875,1.7,2500.0,0.0,2500.0,137550144,72838624,0,517731753
1674524323336.9695,0,0,0,0,0,0,0,0,1980320476,163108270,1555427,453177,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130243,6906072576,42831,4907373056,116.59375,16741.65625,133.21875,396.71875,487.15625,1.4,2500.0,0.0,2500.0,137563819,72845421,0,517834351
1674524324325.7905,0,0,0,0,0,0,0,0,1980326323,163124545,1555496,453252,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130243,6906072576,42831,4907373056,116.59375,16753.234375,133.21875,396.84375,487.296875,2.2,2500.0,0.0,2500.0,137577581,72852495,0,517936728
1674524325332.9907,0,0,0,0,0,0,0,0,1980331265,163140480,1555560,453326,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130252,6906334720,42878,4908376576,116.59375,16765.0625,133.234375,397.0,487.390625,2.2,2500.0,0.0,2500.0,137591566,72859600,0,518039853
1674524326328.9724,0,0,0,0,0,0,0,0,1980336355,163156740,1555627,453407,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130258,6906576384,42910,4909167104,116.59375,16776.84375,133.234375,397.09375,487.53125,2.0,2500.0,0.0,2500.0,137605162,72866249,0,518140811
1674524327336.8748,0,0,0,0,0,0,0,0,1980341189,163172606,1555690,453480,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130267,6906756608,42955,4909994496,116.59375,16788.6875,133.25,397.1875,487.671875,2.1,2500.0,0.0,2500.0,137619146,72873418,0,518243390
1674524328330.982,0,0,0,0,0,0,0,0,1980349759,163194055,1555769,453562,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130267,6906756608,42963,4910080512,116.59375,16800.28125,133.25,397.34375,487.796875,2.4,2500.0,0.0,2500.0,137633377,72880679,0,518350740
1674524329328.0203,0,0,0,0,0,0,0,0,1980354593,163209736,1555832,453632,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130272,6906904064,42995,4910723584,116.59375,16811.921875,133.296875,397.515625,487.953125,3.1,2500.0,0.0,2500.0,137646942,72887457,0,518466391
