timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1674531107799.0127,0,0,0,0,0,0,0,0,25173715635,1525939878,19399087,4859482,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161221,8744238080,176977,21538712576,361.0625,92926.3125,367.46875,2285.09375,3827.625,4.0,2500.0,0.0,2500.0,587129302,300398339,0,1992838957
1674531108798.7917,0,0,0,0,0,0,0,0,25173715903,1525940182,19399091,4859486,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177207,21541411840,361.0625,92938.109375,367.484375,2285.234375,3827.71875,2.1,2500.0,0.0,2500.0,587148943,300407640,0,1992958787
1674531109795.7812,0,0,0,0,0,0,0,0,25173716095,1525940416,19399094,4859489,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177224,21541792768,361.078125,92949.84375,367.484375,2285.3125,3827.859375,2.0,2500.0,0.0,2500.0,587168476,300416846,0,1993077482
1674531110802.1797,0,0,0,0,0,0,0,0,25173716516,1525941001,19399100,4859497,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177242,21542198272,361.09375,92961.828125,367.484375,2285.40625,3827.96875,1.8,2500.0,0.0,2500.0,587187758,300425567,0,1993194918
1674531111802.75,0,0,0,0,0,0,0,0,25173717568,1525941229,19399107,4859500,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177242,21542198272,361.09375,92973.625,367.5,2285.5,3828.0625,1.7,2500.0,0.0,2500.0,587207205,300435211,0,1993313370
1674531112796.295,0,0,0,0,0,0,0,0,25173717836,1525941533,19399111,4859504,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177266,21542665216,361.109375,92985.28125,367.5,2285.640625,3828.203125,2.5,2500.0,0.0,2500.0,587226815,300444308,0,1993434867
1674531113803.7896,0,0,0,0,0,0,0,0,25173717964,1525941697,19399113,4859506,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177281,21543005184,361.109375,92997.1875,367.5,2285.71875,3828.265625,1.2,2500.0,0.0,2500.0,587246094,300453871,0,1993553428
1674531114797.7908,0,0,0,0,0,0,0,0,25173718232,1525942001,19399117,4859510,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177299,21543447552,361.125,93008.8125,367.5,2285.796875,3828.40625,2.0,2500.0,0.0,2500.0,587265469,300463211,0,1993672259
1674531115803.7812,0,0,0,0,0,0,0,0,25173718424,1525942229,19399120,4859513,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177300,21543451648,361.125,93020.6875,367.515625,2285.875,3828.578125,2.2,2500.0,0.0,2500.0,587285003,300471880,0,1993792378
1674531116800.3015,0,0,0,0,0,0,0,0,25173719063,1525942941,19399129,4859523,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161222,8744254464,177317,21543857152,361.125,93032.515625,367.53125,2285.953125,3828.640625,1.3,2500.0,0.0,2500.0,587304617,300481424,0,1993909749
