timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1672413724827.0435,0,0,0,0,0,0,0,0,31135559681,2706470481,23044060,5201039,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534184,73987768320,1678796,38751175168,511.015625,758436.3124999999,329.578125,3463.0625000001164,4187.0625,5.6,2500.0,0.0,2500.0,1084124515,594733395,0,1267489333
1672413725825.6704,0,0,0,0,0,0,0,0,31135559949,2706470785,23044064,5201043,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534184,73987768320,1678809,38751810048,511.015625,758447.9687499999,329.578125,3463.1875000001164,4187.21875,2.4,2500.0,0.0,2500.0,1084137949,594740511,0,1267604314
1672413726821.1472,0,0,0,0,0,0,0,0,31135560077,2706471324,23044066,5201047,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534188,73987789824,1678816,38751843840,511.03125,758459.7343749999,329.578125,3463.3125000001164,4187.28125,1.7,2500.0,0.0,2500.0,1084151279,594747321,0,1267716657
1672413727821.638,0,0,0,0,0,0,0,0,31135561205,2706471692,23044074,5201053,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534188,73987789824,1678827,38752052736,511.03125,758471.5624999999,329.578125,3463.3750000001164,4187.328125,0.9,2500.0,0.0,2500.0,1084165156,594754500,0,1267829980
1672413728820.8867,0,0,0,0,0,0,0,0,31135561397,2706471920,23044077,5201056,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534188,73987789824,1678838,38752335360,511.046875,758483.3906249999,329.578125,3463.4843750001164,4187.421875,1.8,2500.0,0.0,2500.0,1084179514,594761975,0,1267941882
1672413729823.613,0,0,0,0,0,0,0,0,31135561665,2706472224,23044081,5201060,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534190,73987822592,1678857,38753170944,511.046875,758495.3749999999,329.578125,3463.5468750001164,4187.484375,1.0,2500.0,0.0,2500.0,1084193692,594769379,0,1268053153
1672413730821.106,0,0,0,0,0,0,0,0,31135561793,2706472388,23044083,5201062,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534190,73987822592,1678861,38753314304,511.046875,758507.0781249999,329.578125,3463.6562500001164,4187.578125,1.7,2500.0,0.0,2500.0,1084207267,594776360,0,1268162962
1672413731822.1072,0,0,0,0,0,0,0,0,31135562061,2706481474,23044087,5201102,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534190,73987822592,1678874,38753633792,511.046875,758519.0468749999,329.578125,3463.6875000001164,4187.671875,1.0,2500.0,0.0,2500.0,1084221209,594783678,0,1268272880
1672413732820.6565,0,0,0,0,0,0,0,0,31135562253,2706481702,23044090,5201105,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534190,73987822592,1678888,38753986048,511.046875,758530.8281249999,329.578125,3463.7812500001164,4187.796875,1.8,2500.0,0.0,2500.0,1084234292,594790478,0,1268381383
1672413733821.0989,0,0,0,0,0,0,0,0,31135564194,2706487872,23044104,5201120,1039,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534190,73987822592,1678890,38753994240,511.046875,758542.6718749999,329.578125,3463.8437500001164,4187.890625,1.3,2500.0,0.0,2500.0,1084249199,594798212,0,1268495346
