timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1674996824227.1487,0,0,0,0,0,0,0,0,1834641,35363425,11763,29571,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656154,124042093568,1642243,106479325184,799.546875,460814.24999999994,660.796875,6779.296875,9147.59375,3.4,2500.0,0.0,2500.0,1905528180,1002049199,0,3785092635
1674996825235.7024,0,0,0,0,0,0,0,0,1839679,35379754,11829,29646,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656376,124046214144,1642336,106480877568,799.546875,460825.92187499994,660.8125,6779.515625,9147.796875,3.6,2500.0,0.0,2500.0,1905569784,1002068869,0,3785361833
1674996826222.7048,0,0,0,0,0,0,0,0,1844666,35405048,11894,29759,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656404,124046691840,1642391,106482012160,799.546875,460837.18749999994,660.828125,6779.6875,9148.25,5.4,2500.0,0.0,2500.0,1905601483,1002085140,0,3785540376
1674996827229.141,0,0,0,0,0,0,0,0,1850884,35421752,11969,29839,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656575,124051267584,1642393,106482049024,799.5625,460848.73437499994,660.84375,6779.84375,9148.6875,5.1,2500.0,0.0,2500.0,1905629159,1002100373,0,3785682475
1674996828230.3792,0,0,0,0,0,0,0,0,1856167,35438136,12036,29914,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656683,124052755456,1642448,106482573312,799.5625,460860.49999999994,660.890625,6779.921875,9148.9375,3.1,2500.0,0.0,2500.0,1905655254,1002113865,0,3785819444
1674996829237.1465,0,0,0,0,0,0,0,0,1884050,35530345,12217,30132,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656813,124055014400,1642541,106483970048,799.5625,460871.78124999994,660.90625,6780.046875,9149.421875,5.2,2500.0,0.0,2500.0,1905696841,1002134829,0,3786100678
1674996830228.1829,0,0,0,0,0,0,0,0,1889822,35547666,12291,30216,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656843,124055368704,1642615,106485116928,799.5625,460883.34374999994,660.9375,6780.21875,9149.609375,3.3,2500.0,0.0,2500.0,1905719904,1002146258,0,3786225347
1674996831227.268,0,0,0,0,0,0,0,0,1896461,35565982,12370,30307,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657553,124100869120,1642673,106485817344,799.5625,460894.78124999994,660.953125,6780.53125,9149.90625,5.2,2500.0,0.0,2500.0,1905758325,1002166748,0,3786551504
1674996832219.7961,0,0,0,0,0,0,0,0,1901551,35582795,12437,30389,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657959,124141948416,1642806,106487439360,799.5625,460906.12499999994,660.96875,6780.765625,9150.234375,4.8,2500.0,0.0,2500.0,1905790943,1002184298,0,3786865113
1674996833231.1414,0,0,0,0,0,0,0,0,1907624,35600354,12508,30471,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657989,124142315008,1642917,106489167872,799.5625,460917.54687499994,660.96875,6781.109375,9150.515625,5.2,2500.0,0.0,2500.0,1905819776,1002200092,0,3787185816
