timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1675027707261.575,0,0,0,0,0,0,0,0,998854,7166430,5063,8562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922747,154504839168,1876944,112076271616,1480.34375,622432.828125,1082.171875,9196.15625,11837.53125,0.0,2500.0,0.0,2500.0,2747728123,1447489171,0,3228182111
1675027708279.583,0,0,0,0,0,0,0,0,1008193,7194731,5151,8665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922770,154505490432,1877570,112082206720,1480.34375,622444.8125,1082.171875,9196.171875,11837.6875,1.4,2500.0,0.0,2500.0,2747746089,1447500407,0,3228279681
1675027709264.5823,0,0,0,0,0,0,0,0,1013051,7212820,5213,8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922770,154505490432,1877583,112082718720,1480.34375,622456.53125,1082.171875,9196.234375,11837.75,1.1,2500.0,0.0,2500.0,2747764616,1447512025,0,3228425657
1675027710272.095,0,0,0,0,0,0,0,0,1019837,7240302,5294,8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922772,154505502720,1877610,112083496960,1480.34375,622468.34375,1082.1875,9196.34375,11837.828125,1.7,2500.0,0.0,2500.0,2747785771,1447525213,0,3228534607
1675027711268.5908,0,0,0,0,0,0,0,0,1024311,7257110,5353,8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922782,154505719808,1877636,112084111360,1480.359375,622480.1875,1082.1875,9196.46875,11837.875,1.6,2500.0,0.0,2500.0,2747809205,1447539531,0,3228651238
1675027712280.5818,0,0,0,0,0,0,0,0,1031911,7275958,5430,8989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922833,154507400704,1877683,112085200896,1480.375,622492.171875,1082.1875,9196.53125,11838.0,1.7,2500.0,0.0,2500.0,2747843636,1447559519,0,3228826224
1675027713279.5828,0,0,0,0,0,0,0,0,1078856,8211160,5748,9767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923452,154523637248,1877691,112085602304,1480.390625,622503.6875,1082.1875,9196.6875,11838.328125,4.2,2500.0,0.0,2500.0,2747899858,1447590871,0,3229088271
1675027714278.5793,0,0,0,0,0,0,0,0,1085416,8231446,5827,9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923501,154524209664,1877755,112087482368,1480.390625,622515.421875,1082.1875,9196.828125,11838.421875,2.0,2500.0,0.0,2500.0,2747933052,1447610024,0,3229245532
1675027715280.5862,0,0,0,0,0,0,0,0,1089826,8248116,5885,9923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923506,154524224512,1877829,112088977408,1480.390625,622527.328125,1082.1875,9196.890625,11838.484375,1.0,2500.0,0.0,2500.0,2747960604,1447626110,0,3229371991
1675027716269.5725,0,0,0,0,0,0,0,0,1096456,8268518,5965,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923508,154524306432,1877867,112089804800,1480.40625,622538.859375,1082.203125,9197.0,11838.671875,2.8,2500.0,0.0,2500.0,2747991126,1447644234,0,3229518602
