timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1674642133042.8357,0,0,0,0,0,0,0,0,569712133,82162674,466071,161341,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550978,61518899200,290708,69701273088,372.875,130347.23437499999,376.09375,2581.3125000000146,4466.625,0.0,2500.0,0.0,2500.0,745832957,382430745,0,3111966377
1674642134052.8843,0,0,0,0,0,0,0,0,570138035,82190722,466539,161536,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550982,61518948352,290746,69702522368,372.875,130359.14062499999,376.09375,2581.4218750000146,4466.6875,1.4,2500.0,0.0,2500.0,745872591,382449953,0,3112179114
1674642135048.4204,0,0,0,0,0,0,0,0,570556585,82219057,467004,161729,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550982,61518948352,290779,69703202304,372.875,130370.85937499999,376.09375,2581.4843750000146,4466.828125,1.7,2500.0,0.0,2500.0,745910822,382468425,0,3112384732
1674642136043.9963,0,0,0,0,0,0,0,0,570978581,82246433,467472,161915,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550982,61518948352,290787,69703603712,372.875,130382.57812499999,376.09375,2581.5781250000146,4467.015625,2.3,2500.0,0.0,2500.0,745948990,382486819,0,3112590113
1674642137041.0054,0,0,0,0,0,0,0,0,571400251,82274293,467935,162108,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551012,61519254528,290816,69704242688,372.875,130394.46874999999,376.09375,2581.7187500000146,4467.078125,1.7,2500.0,0.0,2500.0,745989563,382506810,0,3112803537
1674642138040.0269,0,0,0,0,0,0,0,0,571817823,82301978,468395,162298,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551014,61519467520,290859,69706012160,372.875,130406.01562499999,376.09375,2581.8437500000146,4467.234375,2.4,2500.0,0.0,2500.0,746028443,382525507,0,3113009591
1674642139052.84,0,0,0,0,0,0,0,0,572248021,82329382,468869,162485,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551022,61519663616,290956,69709309440,372.875,130417.92187499999,376.09375,2581.9375000000146,4467.421875,2.3,2500.0,0.0,2500.0,746067567,382544437,0,3113216818
1674642140051.1035,0,0,0,0,0,0,0,0,572670594,82358860,469344,162684,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551023,61519696384,290962,69709579776,372.875,130429.62499999999,376.09375,2582.0312500000146,4467.609375,2.3,2500.0,0.0,2500.0,746108915,382564502,0,3113429134
1674642141047.128,0,0,0,0,0,0,0,0,573088224,82386930,469805,162880,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551025,61519761920,291000,69710538240,372.875,130441.31249999999,376.09375,2582.1093750000146,4467.765625,2.0,2500.0,0.0,2500.0,746156968,382588045,0,3113664391
1674642142042.337,0,0,0,0,0,0,0,0,573510028,82423409,470270,163102,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551025,61519761920,291047,69711513088,372.875,130452.92187499999,376.109375,2582.2812500000146,4467.890625,2.6,2500.0,0.0,2500.0,746201384,382610124,0,3113899586
