timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1672425625346.3347,0,0,0,0,0,0,0,0,47085531943,3869447712,35580294,8744445,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812260,41702356992,568.765625,898780.0625,400.171875,4470.984375,5641.859374999999,9.8,2500.0,0.0,2500.0,1587796114,849229249,0,3292623081
1672425626351.8823,0,0,0,0,0,0,0,0,47085953163,3869458084,35580701,8744593,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812263,41702369280,568.875,898791.1875,400.359375,4471.359375,5642.265624999999,8.8,2500.0,0.0,2500.0,1587956455,849318120,0,3293321136
1672425627344.1824,0,0,0,0,0,0,0,0,47089661678,3869976341,35584093,8746139,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812285,41702844416,569.0,898802.484375,400.40625,4471.671875,5642.515624999999,6.1,2500.0,0.0,2500.0,1588032605,849358636,0,3293825172
1672425628340.1118,0,0,0,0,0,0,0,0,47095505955,3870546421,35589003,8747910,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812307,41703516160,569.0625,898814.0625,400.4375,4471.90625,5642.687499999999,4.1,2500.0,0.0,2500.0,1588085037,849385486,0,3294183366
1672425629344.9602,0,0,0,0,0,0,0,0,47102642547,3871131628,35594794,8749749,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812308,41703520256,569.109375,898825.71875,400.4375,4472.09375,5642.890624999999,3.6,2500.0,0.0,2500.0,1588138091,849412775,0,3294541450
1672425630336.8557,0,0,0,0,0,0,0,0,47110699247,3871712360,35601174,8751596,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812325,41703888896,569.171875,898837.125,400.453125,4472.328125,5643.140624999999,4.7,2500.0,0.0,2500.0,1588191129,849439900,0,3294900671
1672425631338.8364,0,0,0,0,0,0,0,0,47119664163,3872295614,35608169,8753480,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812342,41705113600,569.234375,898848.890625,400.484375,4472.484375,5643.265624999999,3.1,2500.0,0.0,2500.0,1588244394,849467168,0,3295261067
1672425632344.7825,0,0,0,0,0,0,0,0,47129786053,3872882936,35615934,8755355,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812366,41705719808,569.296875,898860.53125,400.53125,4472.703125,5643.437499999999,4.1,2500.0,0.0,2500.0,1588297229,849493903,0,3295619110
1672425633353.0984,0,0,0,0,0,0,0,0,47140734121,3873468256,35624238,8757259,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812369,41705748480,569.390625,898872.140625,400.578125,4473.0,5643.656249999999,5.3,2500.0,0.0,2500.0,1588350170,849520786,0,3295977383
1672425634341.7544,0,0,0,0,0,0,0,0,47151176709,3874043338,35632194,8759098,1117,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576776,76793578496,1812408,41706330112,569.453125,898883.5625,400.59375,4473.25,5643.812499999999,4.1,2500.0,0.0,2500.0,1588403784,849548356,0,3296334046
