timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1672424527800.857,0,0,0,0,0,0,0,0,42040790959,3570305746,31726331,7804524,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796162,41294100480,523.953125,885930.765625,366.765625,4291.65625,5499.671875,4.0,2500.0,0.0,2500.0,1540646748,822938113,0,3032089518
1672424528798.16,0,0,0,0,0,0,0,0,42041208199,3570315042,31726736,7804650,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796427,41296902144,523.953125,885942.546875,366.765625,4291.6875,5499.8125,1.4,2500.0,0.0,2500.0,1540670078,822950577,0,3032235379
1672424529807.561,0,0,0,0,0,0,0,0,42041629349,3570323594,31727142,7804772,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796442,41297319936,523.953125,885954.453125,366.765625,4291.78125,5499.921875,1.7,2500.0,0.0,2500.0,1540692619,822962405,0,3032384008
1672424530801.3435,0,0,0,0,0,0,0,0,42042042844,3570332980,31727542,7804906,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796443,41297324032,523.953125,885966.1875,366.765625,4291.84375,5500.0625,1.7,2500.0,0.0,2500.0,1540714782,822973803,0,3032532940
1672424531816.103,0,0,0,0,0,0,0,0,42042865267,3570532950,31728487,7805554,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796462,41297737728,523.953125,885977.984375,366.796875,4292.046875,5500.390625,4.6,2500.0,0.0,2500.0,1540745088,822989940,0,3032745789
1672424532800.6714,0,0,0,0,0,0,0,0,42048719315,3571105686,31733400,7807269,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796483,41298188288,524.0,885989.234375,366.859375,4292.359375,5500.5625,5.0,2500.0,0.0,2500.0,1540785952,823012954,0,3032992593
1672424533808.4478,0,0,0,0,0,0,0,0,42056134599,3571689173,31739357,7809120,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796509,41299666944,524.046875,886000.78125,366.890625,4292.828125,5500.734375,5.9,2500.0,0.0,2500.0,1540837057,823080767,0,3033411190
1672424534801.056,0,0,0,0,0,0,0,0,42064432319,3572264181,31745887,7810940,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796509,41299666944,524.078125,886012.375,366.921875,4293.125,5500.84375,3.9,2500.0,0.0,2500.0,1540880894,823118085,0,3033647894
1672424535808.4631,0,0,0,0,0,0,0,0,42073974687,3572850869,31753275,7812846,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796528,41299970048,524.140625,886023.890625,366.9375,4293.328125,5500.96875,3.4,2500.0,0.0,2500.0,1540922325,823190433,0,3033834520
1672424536807.3953,0,0,0,0,0,0,0,0,42084462520,3573436294,31761273,7814725,1111,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576242,76779527680,1796548,41300326400,524.203125,886035.53125,367.03125,4293.65625,5501.15625,5.5,2500.0,0.0,2500.0,1540971454,823274612,0,3036077617
