timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1672427126507.1396,0,0,0,0,0,0,0,0,53547608056,4347914787,40632723,10271738,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1833954,42243365888,593.640625,916446.7187499999,414.421875,4636.859375,5823.156249999999,0.0,2500.0,0.0,2500.0,1644587557,877409295,0,3630646972
1672427127494.8105,0,0,0,0,0,0,0,0,53547608056,4347914851,40632723,10271740,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1833956,42243374080,593.640625,916458.1718749999,414.421875,4636.96875,5823.296874999999,2.1,2500.0,0.0,2500.0,1644607426,877419392,0,3630794711
1672427128493.592,0,0,0,0,0,0,0,0,53547608980,4347915018,40632728,10271743,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1833976,42244258816,593.640625,916469.9062499999,414.421875,4637.078125,5823.421874999999,2.0,2500.0,0.0,2500.0,1644625200,877428442,0,3630933881
1672427129493.597,0,0,0,0,0,0,0,0,53547608980,4347915082,40632728,10271745,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1833992,42244504576,593.640625,916481.7812499999,414.421875,4637.171875,5823.515624999999,1.6,2500.0,0.0,2500.0,1644641847,877436914,0,3631069296
1672427130493.3386,0,0,0,0,0,0,0,0,53547608980,4347926996,40632728,10271795,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1834012,42244938752,593.640625,916493.4218749999,414.421875,4637.328125,5823.687499999999,2.7,2500.0,0.0,2500.0,1644658666,877445697,0,3631206112
1672427131509.4326,0,0,0,0,0,0,0,0,53547610545,4347927401,40632731,10271801,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1834013,42244942848,593.640625,916505.3906249999,414.4375,4637.484375,5823.812499999999,2.4,2500.0,0.0,2500.0,1644674686,877453564,0,3631339827
1672427132495.5955,0,0,0,0,0,0,0,0,53547610609,4347928337,40632732,10271805,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576916,76812294656,1834126,42246634496,593.640625,916516.9062499999,414.4375,4637.5625,5823.921874999999,1.6,2500.0,0.0,2500.0,1644692598,877462919,0,3631477068
1672427133502.596,0,0,0,0,0,0,0,0,53547615749,4347928823,40632738,10271811,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576917,76812298752,1834143,42246921216,593.640625,916528.7812499999,414.4375,4637.640625,5824.093749999999,2.1,2500.0,0.0,2500.0,1644709895,877471858,0,3631613353
1672427134493.6348,0,0,0,0,0,0,0,0,53547615877,4347929813,40632740,10271816,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576917,76812298752,1834165,42247334912,593.640625,916540.4062499999,414.4375,4637.78125,5824.218749999999,2.2,2500.0,0.0,2500.0,1644726684,877480692,0,3631746032
1672427135500.602,0,0,0,0,0,0,0,0,53547615877,4347931937,40632740,10271826,1133,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576917,76812298752,1834165,42247334912,593.640625,916552.1718749999,414.4375,4637.921875,5824.343749999999,2.2,2500.0,0.0,2500.0,1644743637,877489711,0,3631880746
